,Name,X,Y
0,Andhra Pradesh,-60.0,-99.0
1,Arunachal Pradesh,149.0,108.0
2,Assam,114.0,77.0
3,Bihar,33.0,69.0
4,Chhattisgarh,-18.0,-3.0
5,Goa,-118.0,-96.0
6,Gujarat,-163.0,15.0
7,Haryana,-90.0,114.0
8,Himachal Pradesh,-74.0,156.0
9,Jharkhand,29.0,31.0
10,Karnataka,-101.0,-122.0
11,Kerala,-86.0,-172.0
12,Madhya Pradesh,-85.0,21.0
13,Maharashtra,-122.0,-36.0
14,Manipur,155.0,54.0
15,Meghalaya,109.0,64.0
16,Mizoram,142.0,29.0
17,Nagaland,161.0,76.0
18,Odisha,14.0,-19.0
19,Punjab,-102.0,141.0
20,Rajasthan,-156.0,78.0
21,Sikkim,81.0,95.0
22,Tamil Nadu,-51.0,-156.0
23,Telangana,-57.0,-57.0
24,Tripura,126.0,37.0
25,Uttar Pradesh,-39.0,77.0
26,Uttarakhand,-55.0,132.0
27,West Bengal,82.0,18.0
28,Andaman And Nicobar,144.0,-127.0
29,Chandigarh,-79.0,135.0
30,Daman And Diu,-161.0,-8.0
31,Dadar And Nagar Haveli,-131.0,-20.0
32,Delhi,-72.0,105.0
33,Jammu And Kashmir,-110.0,186.0
34,Ladakh,-64.0,199.0
35,Lakshadweep,-152.0,-161.0
36,Puducherry,-35.0,-146.0
